City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
256,callao,-12.0667,-77.15,26.51,73,75,4.12,PE,1706667345
257,olyokminsk,60.3736,120.4264,-32.08,96,97,1.51,RU,1706667346
258,la libertad,-2.2333,-80.9,25.58,82,100,3.82,EC,1706667346
259,fomento,22.1039,-79.7217,15.86,76,0,1.57,CU,1706667346
260,al muwayh,22.4333,41.7583,13.37,38,14,2.17,SA,1706667346
261,bafoulabe,13.8065,-10.8321,24.45,13,91,2.69,ML,1706667346
262,swanage,50.6092,-1.9626,7.53,82,32,0.45,GB,1706667346
263,invercargill,-46.4,168.35,18.34,60,96,8.05,NZ,1706667346
264,garh maharaja,30.8339,71.9053,10.79,45,3,2.46,PK,1706667347
265,rusk,31.796,-95.1502,17.29,52,0,2.06,US,1706667113
266,kristiansund,63.1115,7.732,7.36,42,75,5.14,NO,1706667347
267,tazacorte,28.629,-17.9293,18.97,28,0,4.47,ES,1706667347
268,marsala,37.7966,12.4352,2.97,93,0,1.54,IT,1706667347
269,qamdo,31.1667,97.2333,-9.23,43,75,3.53,CN,1706667347
270,keflavik,64.0049,-22.5624,-1.76,74,75,8.23,IS,1706667348
271,crucecita,-28.95,-58.9833,24.11,63,0,2.83,AR,1706667348
272,newnham,-41.3833,147.1333,23.15,37,29,4.12,AU,1706667348
273,kapiri mposhi,-13.9652,28.6809,16.28,95,14,2.05,ZM,1706667348
274,shiyan,32.6475,110.7781,6.94,79,56,1.44,CN,1706667348
275,bafra,41.5678,35.9069,6.51,77,80,1.72,TR,1706667348
276,mil'kovo,55.6078,37.7956,-0.73,100,99,1.08,RU,1706667348
277,mek'ele,13.4967,39.4753,15.27,85,37,3.38,ET,1706667349
278,ebon,4.582,168.6964,27.24,80,100,8.28,MH,1706667349
279,labrador city,52.9463,-66.9114,-11.05,53,100,4.47,CA,1706667349
280,yengema,8.7167,-11.1667,19.48,72,85,0.12,SL,1706667349
281,carupano,10.6678,-63.2585,24.68,87,35,3.07,VE,1706667349
282,dongsheng,39.8161,109.9776,-8.46,74,100,2.11,CN,1706667350
283,kailua-kona,19.6406,-155.9956,28.06,81,40,4.12,US,1706667334
284,toledo,39.8333,-4.0,9.49,82,9,2.85,ES,1706667350
285,okondja,-0.6549,13.6753,23.93,73,100,0.93,GA,1706667072
286,tocopilla,-22.092,-70.1979,23.55,69,12,4.65,CL,1706667350
287,horta,38.5333,-28.6333,13.34,87,41,3.58,PT,1706667350
288,sitka,57.0531,-135.33,2.94,56,100,2.57,US,1706667350
